CODIGO;URL;HTTP;FICHA_JERARQUIA_TXT;FICHA_JERARQUIA_NUM;FICHA_ALTITUD_M;FICHA_TOPONIMIA;INGRESO_TIPO;INGRESO_OBS;TARIFA_SOLES;EPOCA_PROPICIA;EPOCA_ESPECIFICACION;HORA_VISITA;N_ACTIVIDADES;ACTIVIDADES;N_TRAMOS;ACCESO_KM;ACCESO_MIN;ACCESO_MEDIOS;ACCESO_VIAS;VISITANTES_NAC;VISITANTES_EXT;VISITANTES_LOC;VISITANTES_ANIO;N_SERV_ALOJAMIENTO;N_SERV_ALIMENTACION;TABLAS_RECONOCIDAS
33;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=33;200;POR JERARQUIZAR;;2870;;Semi-restringido(previo permiso);Previa coordinación con la persona responsable de la vigilancia del templo.;;Todo el Año;--;"08:00 a.m.
                                -
                                05:00 p.m. --";4;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Otros>Realización de eventos | Cultura y Folclore>Visita y participación en actividades de vida cotidiana de la comunidad;2;5.0;20;A pie | Taxi;Asfaltado;270;;2520;2025;2;2;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
34;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=34;200;2;2;3032;;Semi-restringido(previo permiso);En la puerta esta el número del responsable del templo para que puedan ingresar.;;Todo el Año;--;"09:00 a.m.
                                -
                                05:00 p.m. Días festivos en honor a la Vi";2;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales;3;146.0;30;Automóvil particular | Combi;Asfaltado | Trocha carrozable;318;7;4124;2023;2;3;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
36;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=36;200;1;1;3160;;Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);Locales: S/. 5.00   Nacionales y extranjeros: S/. 10.00;10.0;Todo el Año;--;"12:00 a.m.
                                -
                                12:00 p.m. --";2;Otros>Toma de fotografías y filmaciones | Naturaleza>Observación de paisaje;1;7.0;25;Taxi;Trocha carrozable;19656;253;15297;2023;3;3;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
37;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=37;200;POR JERARQUIZAR;;484;;Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);"Adultos : S/.5.00
Estudiantes de educación superior : S/.2.00
Estudiantes de educación escolar : S/.1.00";5.0;Todo el Año;--;"09:00 a.m.
                                -
                                05:00 p.m. Lunes a Domingo";3;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Naturaleza>Observación de paisaje;4;322.0;205;Automóvil particular | Bus turístico;Afirmado | Asfaltado;4152;5859;;2019;3;3;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
42;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=42;200;1;1;4460;El nombre Pomacocha, proviene de dos voces del idioma quechua “poma” que quiere decir puma y “cocha” que  significa “laguna”, que en conclusión significa “laguna del puma”.;Libre;;;Esporádicamente - Algunos meses;--;"09:00 a.m.
                                -
                                03:00 p.m. Recomendable los meses de mayo";9;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Deportes acuáticos>Pesca deportiva | Naturaleza>Observación de fauna | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking | Cultura y Folclore>Degustación y preparación de platos, productos o bebidas típicas | Otros>Compra de productos regionales;3;40.16;105;Automóvil particular;Afirmado | Asfaltado;;;6480;2024;3;6;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
48;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=48;200;2;2;27;;Libre;;;Todo el Año;--;"09:00 a.m.
                                -
                                05:30 p.m. Casa del alfarero";2;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones;1;7.0;15;Bus público;Asfaltado;18450;1800;2880;2024;3;5;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
49;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=49;200;POR JERARQUIZAR;;32;;Libre;;;Todo el Año;--;"07:00 a.m.
                                -
                                09:00 p.m. --";2;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales;1;0.5;7;A pie;Asfaltado;3060;90;6300;2025;0;0;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
50;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=50;200;1;1;22;;Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);Costo del ticket es de S/1.00, para los niños y adultos. Los niños menores de 5 años ingresan gratis.;1.0;Todo el Año;--;"08:00 a.m.
                                -
                                04:00 p.m. De lunes a domingo.";3;Otros>Toma de fotografías y filmaciones | Naturaleza>Observación de fauna | Paseos>Paseos a caballo;1;7.0;15;Taxi;Asfaltado;90;;24300;2025;2;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
61;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=61;200;2;2;1;;Semi-restringido(previo permiso);Presentar una solicitud dirigida a la Jefatura de Área a través de la mesa virtual: https:mesadepartesvirtual.sernanp.gob.pe;;Todo el Año;--;"08:00 a.m.
                                -
                                04:00 p.m. Levar sombrero, agua, bloquead";13;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Paseos>Paseos en yate | Deportes acuáticos>Pesca deportiva | Deportes acuáticos>Buceo/diving | Naturaleza>Observación de fauna | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Naturaleza>Observación de aves | Deportes / Aventura>Caminata/Trekking | Deportes / Aventura>Camping | Paseos>Paseos en bote;3;125.56;150;Bus público | Camioneta doble tracción;Asfaltado;1056;108;;2024;3;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
62;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=62;200;2;2;7;;Libre;Recoger y retornar los desperdicios que se puedan generar durante la visita. Evitar la contaminación auditiva que pueda ahuyentar o molestar a las aves de la zona.;;Todo el Año;--;"07:00 a.m.
                                -
                                06:00 p.m. Los meses de Dic - Abr mayor c";13;Otros>Toma de fotografías y filmaciones | Paseos>Excursiones | Otros>Estudios e Investigación | Deportes acuáticos>Sea Kayac | Deportes acuáticos>Natación | Deportes acuáticos>Pesca deportiva | Deportes acuáticos>Buceo/diving | Naturaleza>Observación de fauna | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Naturaleza>Observación de aves | Deportes / Aventura>Caminata/Trekking | Deportes / Aventura>Camping;3;92.8;110;Automóvil particular | Bus público | Mototaxi;Afirmado | Asfaltado;270;180;15750;2024;2;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
63;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=63;200;1;1;5;;Libre;Sin restricciones;;Todo el Año;--;"07:00 a.m.
                                -
                                06:00 p.m. --";5;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Deportes acuáticos>Natación | Deportes acuáticos>Pesca deportiva | Naturaleza>Observación de paisaje;2;58.0;79;Automóvil particular | Bus público;Afirmado | Asfaltado;1530;;11880;2024;3;3;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
66;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=66;200;1;1;10;"La interpretación de la toponimia de la laguna Ñapique  se refiere a una ""pequeña fuente de agua"" o ""ojo de agua diminuto"", destacando su carácter y tamaño.";Libre;Se recomienda llevar bloqueador solar, lentes de sol , agua,y repelente;;Todo el Año;--;"08:00 a.m.
                                -
                                05:00 p.m. Los meses de octubre a marzo t";8;Otros>Toma de fotografías y filmaciones | Deportes acuáticos>Natación | Naturaleza>Observación de fauna | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Naturaleza>Observación de aves | Deportes / Aventura>Caminata/Trekking | Deportes / Aventura>Camping;2;50.3;50;Combi | Mototaxi;Asfaltado | Trocha carrozable;;;35100;2024;3;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
68;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=68;200;2;2;1;;Libre;Se recomienda llevar gorro, bloqueador solar, agua, lentes de sol y repelente;;Todo el Año;--;"09:00 a.m.
                                -
                                06:00 p.m. Preferencia meses Dic - Abr. c";11;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Paseos>Paseos en lancha o canoa | Deportes acuáticos>Pesca deportiva | Naturaleza>Observación de fauna | Naturaleza>Observación de paisaje | Naturaleza>Observación de aves | Deportes / Aventura>Caminata/Trekking | Deportes / Aventura>Ciclismo | Deportes / Aventura>Camping | Paseos>Paseos en bote;3;91.5;115;Automóvil particular | Bus público;Afirmado | Asfaltado;83;11;474;2024;3;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
69;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=69;200;2;2;92;;Libre;;;Todo el Año;--;"08:00 a.m.
                                -
                                08:00 p.m. --";3;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Ferias;1;5.0;15;Mototaxi;Asfaltado;2430;;2070;2024;3;3;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
70;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=70;200;2;2;9;;Libre;"De lunes a viernes.
Fines de semana previa coordinación con el Área de Imagen Institucional y Turismo de la Municipalidad del CP San Lucas de Colán.";;Todo el Año;--;"09:00 a.m.
                                -
                                01:00 p.m. - Se realiza misa dominical a ";3;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Naturaleza>Observación de paisaje;3;94.0;40;Bus público | Mini bus turístico;Asfaltado;1080;720;7020;2025;1;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
72;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=72;200;3;3;8;;Libre;Importante especificar que solo combis llegan a la playa en enero,febrero, marzo, fuera de temporada solo es posible llegar por un auto particular;;Todo el Año;--;"06:00 a.m.
                                -
                                06:00 p.m. Bloqueador solar, sombrero, le";9;Otros>Toma de fotografías y filmaciones | Paseos>Excursiones | Deportes acuáticos>Tabla hawaiana (Surfing) o bodyboard | Deportes acuáticos>Pesca deportiva | Naturaleza>Observación de fauna | Naturaleza>Observación de paisaje | Naturaleza>Observación de aves | Deportes / Aventura>Caminata/Trekking | Deportes / Aventura>Camping;2;139.0;27;Automóvil particular;;1474;152;;2019;2;5;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
74;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=74;200;2;2;900;;Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);"Costo de ingreso:
Niños/as: S/ 2. 00
Adultos/as: S/ 5. 00
Estudiantes: S/ 2. 00
Extranjeros: S/ 5. 00";5.0;Todo el Año;--;"07:00 a.m.
                                -
                                05:00 p.m. Se recomienda visitar en días ";6;Otros>Toma de fotografías y filmaciones | Paseos>Excursiones | Otros>Otros(Especificar) | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking;2;6.2;15;Automóvil particular;Afirmado | Asfaltado;24763;1058;;2022;2;7;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
85;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=85;200;1;1;1801;"Numparket proviene del idioma Awajun, que significa ""aguas turbias""";Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);El precio general de entrada es de S/ 5.00 la misma tendrá que ser adquirido en el parador turístico numparket, no se cuenta con precios diferenciados.;5.0;Todo el Año;--;"07:30 a.m.
                                -
                                03:30 p.m. Llevar ropas de cambio, imperm";7;Otros>Toma de fotografías y filmaciones | Naturaleza>Observación de fauna | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Naturaleza>Observación de aves | Deportes / Aventura>Caminata/Trekking | Deportes / Aventura>Camping;3;64.6;75;A pie | Automóvil particular;Asfaltado | Camino de Herradura | Otros;31;;46;2023;3;5;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
87;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=87;200;1;1;1100;Proviene de la palabra Honón, nombre con el que se conoció al grupo cultural que se asentó en el territorio del actual pueblo de Yamón.;Libre;Se recomienda coordinar con la municipalidad de Yamón, para gestionar el ingreso o comunicarse al celular 973732408 con la Sra. Marisol Fernández Sigueñas.;;Todo el Año;--;"08:00 a.m.
                                -
                                04:00 p.m. Llevar agua, bloqueador solar ";4;Otros>Toma de fotografías y filmaciones | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking;3;4.3;27;A pie | Automóvil particular;Afirmado | Camino de Herradura | Trocha carrozable;163;5;600;2024;1;2;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
88;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=88;200;2;2;650;;Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);Tarifa general: S./ 5.00, adultos mayores de 65 años, no pagan.;;Todo el Año;--;"08:00 a.m.
                                -
                                04:00 p.m. Se recomienda visitar de abril";12;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Deportes acuáticos>Natación | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking | Deportes / Aventura>Camping | Paseos>Paseos a caballo | Paseos>Paseos en pedalones | Paseos>Paseos en embarcaciones | Deportes acuáticos>Otros | Cultura y Folclore>Participación y/u observación del proceso de elaboración de productos locales | Otros>Compra de productos regionales;3;52.7;105;Automóvil particular | Balsa;Afirmado | Asfaltado;125226;4183;;2024;3;2;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
90;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=90;200;2;2;280;"""Tunumtunumba"": término local referido al sonido que causa las caídas de agua en época de mayor caudal al golpear las piedras.";Libre;;;Todo el Año;--;"08:00 a.m.
                                -
                                04:00 p.m. Se recomienda portar protector";6;Otros>Toma de fotografías y filmaciones | Deportes acuáticos>Natación | Naturaleza>Observación de fauna | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking;3;58.0;35;A pie | Automóvil particular;Afirmado | Asfaltado | Sendero;134;81;1025;2024;1;2;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
93;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=93;200;2;2;708;"Chapawanki, de lengua Quechua, que significa ""Siempre te Visitare""";Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);Entrada general S/ 5.00;5.0;Todo el Año;--;"09:00 a.m.
                                -
                                05:00 p.m. Lunes a domingo. Tener en cons";9;Otros>Toma de fotografías y filmaciones | Otros>Otros(Especificar) | Naturaleza>Observación de fauna | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking | Deportes / Aventura>Camping | Paseos>Otros | Otros>Compra de productos regionales;4;28.8;50;A pie | Automóvil particular | Mini bus público | Mototaxi;Afirmado | Asfaltado | Sendero;72;9;65;2025;2;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
94;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=94;200;3;3;465;"Ahuashi = cantar, y Yacu = agua; Agua Cantarina";Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);Entrada general S/ 10.00 soles;10.0;Todo el Año;--;"09:00 a.m.
                                -
                                04:00 p.m. Se recomienda consultar la vis";3;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Naturaleza>Observación de flora;2;17.0;45;Mini bus turístico;Asfaltado;134334;1687;1405;2025;3;6;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
96;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=96;200;4;4;29;"Su nombre proviene de  la lengua Chimu o Quigñan que significa ""la ciudad del sol""";Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);Adultos:10.00-Estudiantes:5.00-Niños:1.00;;Todo el Año;--;"09:00 a.m.
                                -
                                04:00 p.m. Todos los dias";3;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación;2;9.0;35;Automóvil particular | Bus público;Asfaltado;92851;8376;;2022;4;3;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
99;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=99;200;POR JERARQUIZAR;;77;;Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);"Entrada GeneraL: S/. 5 
Niños: S/. 1";5.0;Todo el Año;--;"09:00 a.m.
                                -
                                04:00 p.m. martes a sábado";2;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación;1;8.0;20;Automóvil particular;Asfaltado;3850;1046;;2025;3;6;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
100;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=100;200;2;2;2333;Tumshu = Masa nerviosa de cerebro y Caico = Somos o estamos;Libre;Lunes a domingo;;Todo el Año;--;"08:30 a.m.
                                -
                                04:00 p.m. Lunes a domingo";4;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking;4;73.59;72;A pie | Combi | Mototaxi;Asfaltado;1280;640;1280;2021;4;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
101;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=101;200;POR JERARQUIZAR;;;;Libre;Horario Lunes a domingo: 08:00 a.m -12  p.m. y 04:00 p.m – 08:00 p.m.;;Todo el Año;--;"08:00 a.m.
                                -
                                12:00 p.m. Lunes a Domingos";2;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales;1;0.0;2;A pie;Asfaltado;6385;1816;;2025;2;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
104;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=104;200;No aplica;;4008;;;;;;;;1;Otros>Toma de fotografías y filmaciones;;;;;;;;;;;;actividades|cabecera
109;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=109;200;3;3;28;brujo es “aquella persona, que realiza actos de magia o hechicería para dominar la voluntad de las personas o modificar los acontecimientos, especialmente si provoca una influencia dañina o maléfica sobre las personas o sobre su destino”;Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);Costo adultos: 10, estudiantes:5, niños: 1;;Todo el Año;--;"09:00 a.m.
                                -
                                04:00 p.m. Lunes a Domingo";4;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Otros>Otros(Especificar) | Deportes / Aventura>Caminata/Trekking;4;69.6;170;Automóvil particular | Bus público;Afirmado | Asfaltado;91925;11603;;2022;1;1;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
113;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=113;200;POR JERARQUIZAR;;39;;Libre;Previa presentación de Documento de Identidad (DNI) - Incluye guiado;;Todo el Año;--;"09:30 a.m.
                                -
                                05:00 p.m. Lunes a Viernes";4;Otros>Toma de fotografías y filmaciones | Otros>Actividades Culturales | Otros>Realización de eventos | Cultura y Folclore>Apreciación de muestras o actividades artísticas(danza, teatro,canto, pintura, escultura, etc.);1;0.09;1;A pie;Asfaltado;6385;1816;;2025;3;6;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
