ID_EVENTO;NOMBRE_EVENTO;REGION;CATEGORIA;LATITUD;LONGITUD;FECHA_INICIO;FECHA_FIN;COSTO_PEN;RELEVANCIA_PUBLICIDAD
EVT-0026;Fiesta Patronal Andes CUSCO;CUSCO;Cultura;-13.461288;-72.054448;2024-08-16;2024-08-21;0;3
EVT-0027;Fiesta Patronal Andes PUNO;PUNO;Cultura;-15.90739;-70.088688;2024-09-11;2024-09-18;100;1
EVT-0028;Descuento de Temporada - Hotel Sol y Luna PUNO;PUNO;Alojamiento;-15.861988;-70.083875;2024-05-14;2024-05-29;50;3
EVT-0029;Descuento de Temporada - Hotel Místico LORETO;LORETO;Alojamiento;-3.818206;-73.216558;2024-06-14;2024-06-28;100;5
EVT-0030;Descuento de Temporada - Hotel Andes LIMA;LIMA;Alojamiento;-12.090587;-77.050264;2024-09-06;2024-09-20;0;1
EVT-0031;Fiesta Patronal Pacha ICA;ICA;Cultura;-14.038219;-75.82573;2024-12-07;2024-12-13;15;3
EVT-0032;Exhibición de Artesanía Sol y Luna ANCASH;ANCASH;Cultura;-9.447559;-77.446661;2024-09-09;2024-09-23;100;5
EVT-0033;Exhibición de Artesanía Aventura Extrema PIURA;PIURA;Cultura;-5.139735;-80.604645;2024-12-09;2024-12-13;15;5
EVT-0034;Tour Promocional La Tradición ICA;ICA;Aventura;-14.046626;-75.773985;2024-12-06;2024-12-16;100;3
EVT-0035;Descuento de Temporada - Hotel El Buen Sabor CAJAMARCA;CAJAMARCA;Alojamiento;-7.202673;-78.498817;2024-07-18;2024-07-31;30;3
EVT-0036;Descuento de Temporada - Hotel La Tradición LORETO;LORETO;Alojamiento;-3.748022;-73.339553;2024-10-18;2024-10-26;0;1
EVT-0037;Exhibición de Artesanía Sol y Luna ANCASH;ANCASH;Cultura;-9.618607;-77.484702;2024-04-01;2024-04-09;100;4
EVT-0038;Exhibición de Artesanía Andes CUSCO;CUSCO;Cultura;-13.550842;-72.002744;2024-05-14;2024-05-24;50;1
EVT-0039;Exhibición de Artesanía Sol y Luna ANCASH;ANCASH;Cultura;-9.570933;-77.505017;2024-01-04;2024-01-07;100;2
EVT-0040;Fiesta Patronal El Buen Sabor PUNO;PUNO;Cultura;-15.914999;-70.088923;2024-09-23;2024-10-01;30;2
EVT-0041;Descuento de Temporada - Hotel La Tradición LIMA;LIMA;Alojamiento;-12.097574;-76.960168;2024-05-17;2024-06-01;15;5
EVT-0042;Fiesta Patronal Aventura Extrema CAJAMARCA;CAJAMARCA;Cultura;-7.096246;-78.531971;2024-11-17;2024-11-18;30;2
EVT-0043;Exhibición de Artesanía Pacha CAJAMARCA;CAJAMARCA;Cultura;-7.221828;-78.484783;2024-02-05;2024-02-20;0;3
EVT-0044;Tour Promocional Pacha PIURA;PIURA;Aventura;-5.159707;-80.568495;2024-09-22;2024-10-02;30;3
EVT-0045;Exhibición de Artesanía Aventura Extrema LORETO;LORETO;Cultura;-3.771069;-73.222113;2024-08-30;2024-09-05;0;1
EVT-0046;Descuento de Temporada - Hotel La Tradición ANCASH;ANCASH;Alojamiento;-9.434615;-77.532111;2024-04-13;2024-04-20;30;3
EVT-0047;Descuento de Temporada - Hotel La Tradición LIMA;LIMA;Alojamiento;-12.023144;-77.096955;2024-03-24;2024-04-06;30;5
EVT-0048;Fiesta Patronal Aventura Extrema PIURA;PIURA;Cultura;-5.09655;-80.62882;2024-02-24;2024-02-25;0;2
EVT-0049;Tour Promocional Místico ANCASH;ANCASH;Aventura;-9.549469;-77.627626;2024-09-06;2024-09-09;50;3
EVT-0050;Exhibición de Artesanía Místico CAJAMARCA;CAJAMARCA;Cultura;-7.178218;-78.425146;2024-01-30;2024-01-31;30;4
EVT-0051;Feria Gastronómica La Tradición CUSCO;CUSCO;Gastronomía;-13.584591;-72.005931;2024-05-24;2024-06-03;30;2
EVT-0052;Exhibición de Artesanía Sol y Luna ANCASH;ANCASH;Cultura;-9.431925;-77.521693;2024-05-14;2024-05-26;30;5
EVT-0053;Exhibición de Artesanía Sol y Luna LORETO;LORETO;Cultura;-3.685316;-73.294632;2024-05-03;2024-05-05;15;5
EVT-0054;Fiesta Patronal Sol y Luna CUSCO;CUSCO;Cultura;-13.614592;-71.894698;2024-03-05;2024-03-18;100;5
EVT-0055;Exhibición de Artesanía El Buen Sabor AREQUIPA;AREQUIPA;Cultura;-16.438052;-71.560395;2024-04-01;2024-04-03;50;2
EVT-0056;Exhibición de Artesanía Sol y Luna PUNO;PUNO;Cultura;-15.907663;-70.118635;2024-07-19;2024-07-27;15;2
EVT-0057;Exhibición de Artesanía Sol y Luna CUSCO;CUSCO;Cultura;-13.479024;-72.008146;2024-12-08;2024-12-22;30;2
EVT-0058;Fiesta Patronal Aventura Extrema ANCASH;ANCASH;Cultura;-9.596427;-77.48326;2024-12-04;2024-12-08;0;2
EVT-0059;Festival de Música Local Aventura Extrema CAJAMARCA;CAJAMARCA;Entretenimiento;-7.107902;-78.499749;2024-10-16;2024-10-24;0;3
EVT-0060;Feria Gastronómica Místico ICA;ICA;Gastronomía;-14.000265;-75.811725;2024-05-12;2024-05-19;30;2
EVT-0061;Fiesta Patronal Andes AREQUIPA;AREQUIPA;Cultura;-16.433866;-71.472066;2024-03-25;2024-03-31;30;3
EVT-0062;Feria Gastronómica El Buen Sabor LORETO;LORETO;Gastronomía;-3.67227;-73.322378;2024-12-16;2024-12-21;0;5
EVT-0063;Feria Gastronómica Místico ICA;ICA;Gastronomía;-13.989094;-75.824725;2024-04-17;2024-05-01;30;4
EVT-0064;Tour Promocional Sol y Luna CUSCO;CUSCO;Aventura;-13.547252;-71.911626;2024-08-30;2024-09-08;0;4
EVT-0065;Fiesta Patronal Aventura Extrema PIURA;PIURA;Cultura;-5.196577;-80.57896;2024-04-24;2024-05-04;50;1
EVT-0066;Exhibición de Artesanía Andes CUSCO;CUSCO;Cultura;-13.558823;-72.048199;2024-08-12;2024-08-26;0;5
EVT-0067;Exhibición de Artesanía La Tradición LORETO;LORETO;Cultura;-3.691932;-73.268396;2024-01-15;2024-01-21;30;4
EVT-0068;Tour Promocional Sol y Luna PIURA;PIURA;Aventura;-5.247543;-80.596113;2024-04-04;2024-04-19;15;3
EVT-0069;Descuento de Temporada - Hotel Pacha PIURA;PIURA;Alojamiento;-5.275738;-80.666338;2024-09-14;2024-09-24;30;5
EVT-0070;Fiesta Patronal El Buen Sabor CUSCO;CUSCO;Cultura;-13.565318;-71.88113;2024-11-29;2024-12-12;50;5
EVT-0071;Exhibición de Artesanía Pacha AREQUIPA;AREQUIPA;Cultura;-16.428526;-71.611878;2024-07-29;2024-08-02;50;5
EVT-0072;Fiesta Patronal Sol y Luna CAJAMARCA;CAJAMARCA;Cultura;-7.211142;-78.504892;2024-07-23;2024-08-06;0;2
EVT-0073;Exhibición de Artesanía Sol y Luna CUSCO;CUSCO;Cultura;-13.549254;-72.051232;2024-06-13;2024-06-16;100;4
EVT-0074;Fiesta Patronal Místico CAJAMARCA;CAJAMARCA;Cultura;-7.074873;-78.448256;2024-10-21;2024-11-02;0;1
EVT-0075;Feria Gastronómica Andes PIURA;PIURA;Gastronomía;-5.225823;-80.722629;2024-10-30;2024-11-12;15;1
EVT-0076;Tour Promocional Pacha CUSCO;CUSCO;Aventura;-13.584603;-72.035195;2024-11-03;2024-11-10;15;5
EVT-0077;Fiesta Patronal Pacha ICA;ICA;Cultura;-13.988975;-75.643669;2024-12-05;2024-12-13;100;1
EVT-0078;Exhibición de Artesanía Sol y Luna ICA;ICA;Cultura;-14.055308;-75.784717;2024-06-14;2024-06-16;0;3
EVT-0079;Descuento de Temporada - Hotel La Tradición ICA;ICA;Alojamiento;-14.106512;-75.671052;2024-04-26;2024-05-07;0;5
EVT-0080;Descuento de Temporada - Hotel Místico CUSCO;CUSCO;Alojamiento;-13.531255;-71.88943;2024-01-04;2024-01-06;50;4
EVT-0081;Fiesta Patronal La Tradición ICA;ICA;Cultura;-14.165231;-75.723275;2024-09-20;2024-09-22;0;1
EVT-0082;Tour Promocional Sol y Luna ANCASH;ANCASH;Aventura;-9.457281;-77.443969;2024-10-03;2024-10-18;0;1
EVT-0083;Tour Promocional Místico ANCASH;ANCASH;Aventura;-9.501583;-77.526841;2024-10-31;2024-11-13;50;3
EVT-0084;Festival de Música Local La Tradición LORETO;LORETO;Entretenimiento;-3.776863;-73.205244;2024-10-23;2024-11-02;0;4
EVT-0085;Feria Gastronómica Aventura Extrema AREQUIPA;AREQUIPA;Gastronomía;-16.389926;-71.605014;2024-07-20;2024-07-28;30;4
EVT-0086;Tour Promocional Aventura Extrema LORETO;LORETO;Aventura;-3.759026;-73.322341;2024-10-10;2024-10-12;100;2
EVT-0087;Descuento de Temporada - Hotel La Tradición PIURA;PIURA;Alojamiento;-5.229782;-80.665707;2024-08-22;2024-08-25;0;1
EVT-0088;Festival de Música Local Aventura Extrema LIMA;LIMA;Entretenimiento;-12.104348;-77.044117;2024-09-12;2024-09-26;30;5
EVT-0089;Descuento de Temporada - Hotel Místico PUNO;PUNO;Alojamiento;-15.916814;-69.950289;2024-05-12;2024-05-26;50;1
EVT-0090;Fiesta Patronal Andes CAJAMARCA;CAJAMARCA;Cultura;-7.225552;-78.450719;2024-07-08;2024-07-14;0;3
EVT-0091;Descuento de Temporada - Hotel La Tradición LORETO;LORETO;Alojamiento;-3.777914;-73.264212;2024-10-10;2024-10-15;50;3
EVT-0092;Tour Promocional Andes CAJAMARCA;CAJAMARCA;Aventura;-7.084416;-78.492413;2024-10-13;2024-10-23;50;5
EVT-0093;Exhibición de Artesanía Sol y Luna AREQUIPA;AREQUIPA;Cultura;-16.428833;-71.608479;2024-06-09;2024-06-24;100;3
EVT-0094;Feria Gastronómica Pacha AREQUIPA;AREQUIPA;Gastronomía;-16.4186;-71.583583;2024-12-14;2024-12-20;50;2
EVT-0095;Tour Promocional Pacha AREQUIPA;AREQUIPA;Aventura;-16.335496;-71.634185;2024-08-31;2024-09-11;100;3
EVT-0096;Fiesta Patronal Sol y Luna AREQUIPA;AREQUIPA;Cultura;-16.352502;-71.477599;2024-02-29;2024-03-01;100;3
EVT-0097;Fiesta Patronal El Buen Sabor AREQUIPA;AREQUIPA;Cultura;-16.337181;-71.481595;2024-01-03;2024-01-10;15;3
EVT-0098;Festival de Música Local Sol y Luna PIURA;PIURA;Entretenimiento;-5.282835;-80.568789;2024-09-25;2024-10-07;0;2
EVT-0099;Descuento de Temporada - Hotel Místico CAJAMARCA;CAJAMARCA;Alojamiento;-7.127067;-78.490814;2024-05-03;2024-05-05;100;3
EVT-0100;Tour Promocional La Tradición ICA;ICA;Aventura;-14.081784;-75.66459;2024-07-31;2024-08-12;50;4
EVT-0101;Feria Gastronómica El Buen Sabor CAJAMARCA;CAJAMARCA;Gastronomía;-7.10213;-78.492861;2024-08-17;2024-08-21;0;2
EVT-0102;Tour Promocional Sol y Luna CAJAMARCA;CAJAMARCA;Aventura;-7.121737;-78.516157;2024-04-26;2024-04-27;0;4
EVT-0103;Descuento de Temporada - Hotel Místico LORETO;LORETO;Alojamiento;-3.685766;-73.188521;2024-10-07;2024-10-14;0;4
EVT-0104;Festival de Música Local Místico PIURA;PIURA;Entretenimiento;-5.254038;-80.544398;2024-11-09;2024-11-16;0;4
EVT-0105;Feria Gastronómica Aventura Extrema LIMA;LIMA;Gastronomía;-12.140421;-77.088231;2024-10-31;2024-11-12;50;4
EVT-0106;Exhibición de Artesanía Aventura Extrema AREQUIPA;AREQUIPA;Cultura;-16.46935;-71.561059;2024-11-07;2024-11-22;0;5
EVT-0107;Festival de Música Local Aventura Extrema CUSCO;CUSCO;Entretenimiento;-13.547638;-72.031608;2024-05-02;2024-05-12;100;5
EVT-0108;Tour Promocional Pacha ICA;ICA;Aventura;-14.140684;-75.633155;2024-07-25;2024-08-04;30;3
EVT-0109;Tour Promocional Místico CAJAMARCA;CAJAMARCA;Aventura;-7.0753;-78.514007;2024-09-21;2024-09-24;0;3
EVT-0110;Festival de Música Local Pacha LORETO;LORETO;Entretenimiento;-3.699951;-73.337898;2024-10-13;2024-10-19;30;5
EVT-0111;Descuento de Temporada - Hotel Pacha PUNO;PUNO;Alojamiento;-15.871776;-70.05852;2024-07-09;2024-07-14;30;5
EVT-0112;Exhibición de Artesanía Místico PIURA;PIURA;Cultura;-5.28007;-80.575893;2024-07-27;2024-08-11;15;5
EVT-0113;Exhibición de Artesanía Sol y Luna LORETO;LORETO;Cultura;-3.785465;-73.165224;2024-09-07;2024-09-11;50;3
EVT-0114;Exhibición de Artesanía El Buen Sabor ICA;ICA;Cultura;-14.007614;-75.68196;2024-08-27;2024-09-07;0;4
EVT-0115;Exhibición de Artesanía El Buen Sabor LORETO;LORETO;Cultura;-3.777281;-73.175097;2024-04-18;2024-04-30;30;4
EVT-0116;Feria Gastronómica Místico CAJAMARCA;CAJAMARCA;Gastronomía;-7.209981;-78.462242;2024-06-21;2024-06-30;50;5
EVT-0117;Fiesta Patronal Sol y Luna LORETO;LORETO;Cultura;-3.814953;-73.310284;2024-05-14;2024-05-29;50;2
EVT-0118;Descuento de Temporada - Hotel La Tradición LIMA;LIMA;Alojamiento;-12.090231;-76.988794;2024-05-26;2024-06-08;50;3
EVT-0119;Exhibición de Artesanía Aventura Extrema AREQUIPA;AREQUIPA;Cultura;-16.403757;-71.631622;2024-03-08;2024-03-13;50;5
EVT-0120;Exhibición de Artesanía Pacha AREQUIPA;AREQUIPA;Cultura;-16.320451;-71.49656;2024-02-13;2024-02-16;0;3
EVT-0121;Descuento de Temporada - Hotel Aventura Extrema CAJAMARCA;CAJAMARCA;Alojamiento;-7.07774;-78.436298;2024-07-03;2024-07-08;0;5
EVT-0122;Descuento de Temporada - Hotel Andes CUSCO;CUSCO;Alojamiento;-13.594378;-71.875346;2024-07-12;2024-07-25;15;3
EVT-0123;Tour Promocional Aventura Extrema PIURA;PIURA;Aventura;-5.257279;-80.731115;2024-02-05;2024-02-17;100;1
EVT-0124;Exhibición de Artesanía Pacha ANCASH;ANCASH;Cultura;-9.509279;-77.614771;2024-04-28;2024-05-11;30;1
EVT-0125;Fiesta Patronal La Tradición LORETO;LORETO;Cultura;-3.718771;-73.204894;2024-07-17;2024-07-28;15;1
EVT-0126;Fiesta Patronal Andes CUSCO;CUSCO;Cultura;-13.551723;-71.996499;2024-08-29;2024-09-08;50;3
EVT-0127;Exhibición de Artesanía Aventura Extrema ANCASH;ANCASH;Cultura;-9.443696;-77.615321;2024-02-12;2024-02-20;15;5
EVT-0128;Festival de Música Local Sol y Luna ICA;ICA;Entretenimiento;-14.002631;-75.641614;2024-05-15;2024-05-30;30;4
EVT-0129;Fiesta Patronal Andes CUSCO;CUSCO;Cultura;-13.540488;-71.987284;2024-11-07;2024-11-18;50;4
EVT-0130;Festival de Música Local El Buen Sabor LORETO;LORETO;Entretenimiento;-3.725923;-73.150458;2024-02-26;2024-03-11;0;5
EVT-0131;Descuento de Temporada - Hotel Pacha CAJAMARCA;CAJAMARCA;Alojamiento;-7.081472;-78.495017;2024-02-15;2024-02-29;100;1
EVT-0132;Fiesta Patronal El Buen Sabor AREQUIPA;AREQUIPA;Cultura;-16.421608;-71.543839;2024-06-03;2024-06-07;15;2
EVT-0133;Exhibición de Artesanía Sol y Luna LIMA;LIMA;Cultura;-11.959997;-76.971395;2024-11-03;2024-11-17;50;2
EVT-0134;Tour Promocional Sol y Luna ANCASH;ANCASH;Aventura;-9.461145;-77.582555;2024-03-11;2024-03-22;15;3
EVT-0135;Fiesta Patronal Místico LORETO;LORETO;Cultura;-3.692334;-73.309196;2024-11-25;2024-11-29;50;4
EVT-0136;Exhibición de Artesanía Místico ANCASH;ANCASH;Cultura;-9.61486;-77.434013;2024-02-04;2024-02-19;50;1
EVT-0137;Exhibición de Artesanía Andes CUSCO;CUSCO;Cultura;-13.424378;-71.97709;2024-10-26;2024-11-04;15;5
EVT-0138;Exhibición de Artesanía Andes ICA;ICA;Cultura;-14.121186;-75.660861;2024-10-10;2024-10-23;0;5
EVT-0139;Exhibición de Artesanía Sol y Luna LIMA;LIMA;Cultura;-12.021826;-76.97578;2024-10-03;2024-10-14;30;4
EVT-0140;Fiesta Patronal Pacha AREQUIPA;AREQUIPA;Cultura;-16.375356;-71.615949;2024-02-13;2024-02-18;15;1
EVT-0141;Festival de Música Local Aventura Extrema LIMA;LIMA;Entretenimiento;-12.04597;-77.006388;2024-04-18;2024-04-20;50;5
EVT-0142;Festival de Música Local Pacha ANCASH;ANCASH;Entretenimiento;-9.468903;-77.463119;2024-04-25;2024-04-26;100;4
EVT-0143;Feria Gastronómica La Tradición AREQUIPA;AREQUIPA;Gastronomía;-16.302234;-71.511896;2024-06-14;2024-06-17;0;1
EVT-0144;Descuento de Temporada - Hotel Pacha ICA;ICA;Alojamiento;-14.026672;-75.71472;2024-04-26;2024-05-06;0;5
EVT-0145;Exhibición de Artesanía Sol y Luna PUNO;PUNO;Cultura;-15.820422;-70.099623;2024-07-01;2024-07-04;0;4
EVT-0146;Descuento de Temporada - Hotel La Tradición ANCASH;ANCASH;Alojamiento;-9.535502;-77.553605;2024-06-22;2024-07-05;100;3
EVT-0147;Exhibición de Artesanía Pacha PUNO;PUNO;Cultura;-15.760455;-69.976806;2024-03-15;2024-03-16;15;4
EVT-0148;Feria Gastronómica Sol y Luna CAJAMARCA;CAJAMARCA;Gastronomía;-7.101972;-78.487365;2024-01-29;2024-02-04;30;3
EVT-0149;Festival de Música Local Místico ANCASH;ANCASH;Entretenimiento;-9.556421;-77.502468;2024-08-16;2024-08-22;0;4
EVT-0150;Tour Promocional Pacha PIURA;PIURA;Aventura;-5.229131;-80.546001;2024-01-27;2024-02-04;50;3
EVT-0151;Descuento de Temporada - Hotel El Buen Sabor CUSCO;CUSCO;Alojamiento;-13.429021;-71.907429;2024-09-13;2024-09-24;100;1
EVT-0152;Festival de Música Local Aventura Extrema LORETO;LORETO;Entretenimiento;-3.726602;-73.207952;2024-11-27;2024-12-07;0;3
EVT-0153;Tour Promocional El Buen Sabor CUSCO;CUSCO;Aventura;-13.436106;-71.920119;2024-10-02;2024-10-11;15;2
EVT-0154;Descuento de Temporada - Hotel La Tradición ANCASH;ANCASH;Alojamiento;-9.578497;-77.561677;2024-12-11;2024-12-12;100;1
EVT-0155;Fiesta Patronal Sol y Luna ICA;ICA;Cultura;-14.037376;-75.692058;2024-09-09;2024-09-23;50;2
EVT-0156;Feria Gastronómica La Tradición LORETO;LORETO;Gastronomía;-3.690153;-73.231861;2024-07-02;2024-07-07;30;5
EVT-0157;Tour Promocional Andes LORETO;LORETO;Aventura;-3.760593;-73.300749;2024-01-16;2024-01-21;100;1
EVT-0158;Exhibición de Artesanía Aventura Extrema ANCASH;ANCASH;Cultura;-9.599669;-77.547742;2024-01-09;2024-01-21;100;1
EVT-0159;Festival de Música Local Sol y Luna LIMA;LIMA;Entretenimiento;-12.073931;-76.953812;2024-01-14;2024-01-24;15;4
EVT-0160;Exhibición de Artesanía Sol y Luna LIMA;LIMA;Cultura;-12.008922;-76.932308;2024-08-23;2024-08-27;0;5
EVT-0161;Exhibición de Artesanía Andes LIMA;LIMA;Cultura;-12.002753;-77.027942;2024-08-24;2024-08-30;30;3
EVT-0162;Festival de Música Local Aventura Extrema CUSCO;CUSCO;Entretenimiento;-13.4528;-71.99525;2024-04-19;2024-04-20;100;4
EVT-0163;Descuento de Temporada - Hotel Andes ICA;ICA;Alojamiento;-14.09391;-75.737634;2024-03-06;2024-03-19;0;5
EVT-0164;Exhibición de Artesanía La Tradición AREQUIPA;AREQUIPA;Cultura;-16.351778;-71.59468;2024-03-12;2024-03-22;15;3
EVT-0165;Tour Promocional Aventura Extrema ANCASH;ANCASH;Aventura;-9.555708;-77.467471;2024-05-30;2024-06-08;100;4
EVT-0166;Exhibición de Artesanía La Tradición PIURA;PIURA;Cultura;-5.220828;-80.657213;2024-01-28;2024-01-30;100;2
EVT-0167;Festival de Música Local Sol y Luna ICA;ICA;Entretenimiento;-14.01037;-75.643296;2024-08-13;2024-08-21;50;2
EVT-0168;Festival de Música Local Sol y Luna LIMA;LIMA;Entretenimiento;-12.112065;-77.110184;2024-03-09;2024-03-24;100;3
EVT-0169;Feria Gastronómica Aventura Extrema PIURA;PIURA;Gastronomía;-5.244147;-80.552402;2024-03-16;2024-03-17;0;1
EVT-0170;Feria Gastronómica Sol y Luna ANCASH;ANCASH;Gastronomía;-9.515331;-77.479702;2024-05-26;2024-06-06;50;1
EVT-0171;Fiesta Patronal Aventura Extrema ICA;ICA;Cultura;-14.078577;-75.814944;2024-02-08;2024-02-13;50;1
EVT-0172;Fiesta Patronal La Tradición ANCASH;ANCASH;Cultura;-9.537042;-77.613095;2024-06-29;2024-06-30;15;5
EVT-0173;Festival de Música Local Místico ICA;ICA;Entretenimiento;-13.99911;-75.645879;2024-04-06;2024-04-11;50;1
EVT-0174;Festival de Música Local La Tradición AREQUIPA;AREQUIPA;Entretenimiento;-16.454034;-71.542843;2024-11-21;2024-12-03;0;4
EVT-0175;Festival de Música Local El Buen Sabor CUSCO;CUSCO;Entretenimiento;-13.502164;-71.999039;2024-05-22;2024-05-24;100;3
EVT-0176;Feria Gastronómica La Tradición ICA;ICA;Gastronomía;-13.990584;-75.752109;2024-02-27;2024-03-02;0;1
EVT-0177;Descuento de Temporada - Hotel Sol y Luna PIURA;PIURA;Alojamiento;-5.20285;-80.702419;2024-01-01;2024-01-09;50;5
EVT-0178;Fiesta Patronal Sol y Luna CAJAMARCA;CAJAMARCA;Cultura;-7.25153;-78.593162;2024-11-30;2024-12-09;30;1
EVT-0179;Feria Gastronómica Sol y Luna LORETO;LORETO;Gastronomía;-3.815838;-73.313444;2024-08-05;2024-08-08;0;3
EVT-0180;Tour Promocional Aventura Extrema LORETO;LORETO;Aventura;-3.746458;-73.28247;2024-10-27;2024-10-30;0;3
EVT-0181;Descuento de Temporada - Hotel El Buen Sabor ANCASH;ANCASH;Alojamiento;-9.479497;-77.586377;2024-01-02;2024-01-12;50;4
EVT-0182;Exhibición de Artesanía Andes LIMA;LIMA;Cultura;-12.143164;-77.039638;2024-10-12;2024-10-24;0;1
EVT-0183;Tour Promocional Pacha LIMA;LIMA;Aventura;-12.13078;-76.983884;2024-08-24;2024-09-03;0;1
EVT-0184;Fiesta Patronal Sol y Luna ANCASH;ANCASH;Cultura;-9.46154;-77.457118;2024-08-25;2024-09-06;0;1
EVT-0185;Festival de Música Local Pacha CUSCO;CUSCO;Entretenimiento;-13.564249;-71.936612;2024-11-19;2024-12-01;100;4
EVT-0186;Exhibición de Artesanía El Buen Sabor PUNO;PUNO;Cultura;-15.918155;-69.97019;2024-04-09;2024-04-20;0;5
EVT-0187;Fiesta Patronal La Tradición AREQUIPA;AREQUIPA;Cultura;-16.438114;-71.532024;2024-08-09;2024-08-20;15;3
EVT-0188;Festival de Música Local El Buen Sabor LORETO;LORETO;Entretenimiento;-3.734747;-73.231333;2024-07-25;2024-07-31;0;5
EVT-0189;Descuento de Temporada - Hotel El Buen Sabor LIMA;LIMA;Alojamiento;-11.961737;-76.994695;2024-04-26;2024-05-09;50;1
EVT-0190;Fiesta Patronal Sol y Luna AREQUIPA;AREQUIPA;Cultura;-16.367611;-71.528469;2024-11-28;2024-12-07;50;5
EVT-0191;Feria Gastronómica Místico CUSCO;CUSCO;Gastronomía;-13.610804;-71.87897;2024-03-14;2024-03-28;15;5
EVT-0192;Tour Promocional El Buen Sabor ICA;ICA;Aventura;-14.067602;-75.642382;2024-07-22;2024-07-28;30;1
EVT-0193;Descuento de Temporada - Hotel Pacha LORETO;LORETO;Alojamiento;-3.727748;-73.162188;2024-07-07;2024-07-14;30;4
EVT-0194;Festival de Música Local El Buen Sabor ICA;ICA;Entretenimiento;-14.035732;-75.810131;2024-06-22;2024-06-27;15;1
EVT-0195;Fiesta Patronal Pacha CUSCO;CUSCO;Cultura;-13.620849;-72.001549;2024-01-29;2024-02-08;15;5
EVT-0196;Fiesta Patronal Pacha ANCASH;ANCASH;Cultura;-9.586423;-77.51247;2024-10-11;2024-10-20;15;5
EVT-0197;Fiesta Patronal Pacha ANCASH;ANCASH;Cultura;-9.608747;-77.459276;2024-11-28;2024-12-13;30;2
